Wall time,Step,Value
1651756190.4953508,88,0.0014488698216155171
1651756193.0294242,177,0.0010297588305547833
1651756195.6904998,266,0.0009473350364714861
1651756198.3645458,355,0.0009108009398914874
1651756201.060954,444,0.0008513096836395562
1651756203.7121177,533,0.0007719112327322364
1651756206.5134342,622,0.0008538794936612248
1651756209.3882494,711,0.0008235436980612576
1651756212.1495402,800,0.0008396006305702031
1651756214.8655355,889,0.0008271383703686297
1651756217.7411237,978,0.0007843364728614688
1651756220.569213,1067,0.0007064759265631437
1651756223.3787122,1156,0.0007185513968579471
1651756226.1857095,1245,0.000775124120991677
1651756229.0221322,1334,0.0007426021038554609
1651756231.758349,1423,0.0006933972472324967
1651756234.5866618,1512,0.0007108254940249026
1651756237.4830399,1601,0.0007073322194628417
1651756240.298114,1690,0.0006895402329973876
1651756243.1134956,1779,0.0007284193998202682
