Wall time,Step,Value
1652722170.0543451,93,0.0007971851155161858
1652722173.7918456,187,0.0003905328339897096
1652722178.3894975,281,0.0003782652784138918
1652722182.822107,375,0.00043904874473810196
1652722187.231511,469,0.0005772897275164723
1652722191.6968246,563,0.0007025669328868389
1652722196.0451818,657,0.0007343149045482278
1652722199.426251,751,0.000817459134850651
1652722203.0216734,845,0.0008916003280319273
1652722206.7639828,939,0.0009255650220438838
1652722210.5909686,1033,nan
1652722214.4292147,1127,nan
1652722218.4443133,1221,nan
1652722223.0748396,1315,nan
1652722227.4979324,1409,nan
1652722231.953496,1503,nan
1652722236.740236,1597,nan
1652722241.4011214,1691,nan
1652722246.098049,1785,nan
1652722250.5568767,1879,nan
