Wall time,Step,Value
1652885759.8249245,93,0.15105289220809937
1652885764.6378772,187,0.30209577083587646
1652885770.404647,281,0.45313867926597595
1652885776.0098486,375,0.6041815280914307
1652885781.635657,469,0.7552244663238525
1652885786.4107285,563,0.9062673449516296
1652885791.2364569,657,1.0573102235794067
1652885795.9581492,751,1.2083531618118286
1652885800.8101811,845,1.359395980834961
1652885806.4006612,939,1.5104389190673828
1652885811.9537613,1033,1.6614817380905151
1652885817.611265,1127,1.812524676322937
1652885823.34762,1221,1.9635674953460693
1652885828.6026201,1315,2.114610433578491
1652885833.231985,1409,2.265653371810913
1652885838.0800114,1503,2.416696310043335
1652885842.9192028,1597,2.5677390098571777
1652885847.7315376,1691,2.7187819480895996
1652885853.4306097,1785,2.8698248863220215
1652885859.2179444,1879,2.9791321754455566
