Wall time,Step,Value
1653472178.3233466,93,0.15105289220809937
1653472181.5265992,187,0.30209577083587646
1653472184.8427005,281,0.45313867926597595
1653472188.1344833,375,0.6041815280914307
1653472191.478875,469,0.7552244663238525
1653472195.385651,563,0.9062673449516296
1653472203.7359567,657,1.0573102235794067
1653472207.9929676,751,1.2083531618118286
1653472211.3930943,845,1.359395980834961
1653472214.7932842,939,1.5104389190673828
1653472218.3747811,1033,1.6614817380905151
1653472221.867999,1127,1.812524676322937
1653472225.416102,1221,1.9635674953460693
1653472229.5471048,1315,2.114610433578491
1653472239.351338,1409,2.265653371810913
1653472242.8704376,1503,2.416696310043335
1653472246.2762299,1597,2.5677390098571777
1653472249.8061714,1691,2.7187819480895996
1653472253.4902961,1785,2.8698248863220215
1653472257.188532,1879,2.9791321754455566
