Wall time,Step,Value
1653471647.766865,93,0.0007800544844940305
1653471651.5550625,187,0.0003428442869335413
1653471654.9161239,281,0.0002990200591739267
1653471658.315157,375,0.00028960415511392057
1653471661.6314652,469,0.0002913051866926253
1653471664.8075955,563,0.000314490549499169
1653471668.2856996,657,0.000463267118902877
1653471672.1250398,751,0.0006655003526248038
1653471677.202224,845,0.0008480186224915087
1653471682.1035569,939,0.0012492249952629209
1653471687.6375093,1033,0.002159095136448741
1653471692.0627968,1127,nan
1653471696.5879383,1221,nan
1653471701.6470318,1315,nan
1653471705.5802763,1409,nan
1653471709.906203,1503,nan
1653471715.4066465,1597,nan
1653471720.6979775,1691,nan
1653471725.8082335,1785,nan
1653471731.0936353,1879,nan
