Wall time,Step,Value
1653471764.9375057,93,0.0007664019358344376
1653471770.3357317,187,0.0003828712797258049
1653471775.636017,281,0.0003413152589928359
1653471780.7475088,375,0.00032452133018523455
1653471786.135164,469,0.00034296835656277835
1653471791.5702438,563,0.0004556619096547365
1653471796.0456617,657,0.00046013484825380147
1653471800.1107209,751,0.0005114062805660069
1653471804.1547627,845,0.0007892894791439176
1653471808.3847036,939,0.0009080391610041261
1653471812.683726,1033,0.0015276093035936356
1653471817.4141138,1127,0.002247036201879382
1653471822.306493,1221,nan
1653471827.212841,1315,nan
1653471832.1476068,1409,nan
1653471837.0706484,1503,nan
1653471841.810942,1597,nan
1653471846.6548455,1691,nan
1653471851.7622466,1785,nan
1653471856.8475258,1879,nan
