Wall time,Step,Value
1653473309.431259,93,0.0007901047938503325
1653473313.9455962,187,0.0003726758004631847
1653473318.3381584,281,0.00033267677645199
1653473322.1809793,375,0.0003102498594671488
1653473326.0270424,469,0.000304910761769861
1653473330.0307105,563,0.0003726531285792589
1653473334.0236764,657,0.0004651136987376958
1653473338.148579,751,0.0005231262184679508
1653473342.9697094,845,0.0006202273070812225
1653473347.706856,939,0.0005688875098712742
1653473352.378303,1033,0.0006218809867277741
1653473357.5244231,1127,0.0008309585391543806
1653473362.456516,1221,0.0009154202998615801
1653473367.0689828,1315,0.0012003809679299593
1653473371.698369,1409,0.001727691269479692
1653473376.432718,1503,nan
1653473381.1768937,1597,nan
1653473386.0793493,1691,nan
1653473389.8567753,1785,nan
1653473393.597965,1879,nan
